grp_id,grp_nombre,grp_habilitado,grp_asi_id,grp_doc_id
1,GRUPO - 15,t,1,1
2,GRUPO - 9,t,2,2
3,GRUPO - 16,t,3,3
4,GRUPO - 9,t,4,4
5,GRUPO - 2,t,5,5
6,GRUPO - 8,t,4,6
7,GRUPO - 37,t,1,1
8,GRUPO - 10,t,5,5
9,GRUPO - 28,t,3,7
10,GRUPO - 29,t,1,1
11,GRUPO - 4,t,3,7
12,GRUPO - 1,t,5,8
13,GRUPO - 12,t,3,7
14,GRUPO - 8,t,2,9
15,GRUPO - 28,t,1,10
16,GRUPO - 18,t,1,1
17,GRUPO - 8,t,1,11
18,GRUPO - 2,t,6,12
19,GRUPO - 14,t,3,13
20,GRUPO - 25,t,1,14
21,GRUPO - 9,t,1,1
22,GRUPO - 53,t,1,15
23,GRUPO - 4,t,1,15
24,GRUPO - 15,t,3,16
25,GRUPO - 34,t,1,17
26,GRUPO - 48,t,1,18
27,GRUPO - 13,t,3,19
28,GRUPO - 49,t,1,20
29,GRUPO - 2,t,1,21
30,GRUPO - 4,t,5,22
31,GRUPO - 50,t,1,23
32,GRUPO - 45,t,7,24
33,GRUPO - 9,t,5,25
34,GRUPO - 35,t,1,26
35,GRUPO - 16,t,4,27
36,GRUPO - 17,t,1,28
37,GRUPO - 32,t,3,29
38,GRUPO - 12,t,5,30
39,GRUPO - 16,t,1,14
40,GRUPO - 51,t,1,31
41,GRUPO - 1,t,1,15
42,GRUPO - 14,t,1,32
43,GRUPO - 16,t,2,33
44,GRUPO - 37,t,3,34
45,GRUPO - 17,t,2,35
46,GRUPO - 27,t,3,36
47,GRUPO - 1,t,6,37
48,GRUPO - 40,t,7,38
49,GRUPO - 47,t,1,11
50,GRUPO - 3,t,5,22
51,GRUPO - 19,t,2,37
52,GRUPO - 42,t,1,39
53,GRUPO - 20,t,4,40
54,GRUPO - 7,t,1,41
55,GRUPO - 45,t,1,39
56,GRUPO - 3,t,4,4
57,GRUPO - 10,t,3,36
58,GRUPO - 32,t,1,21
59,GRUPO - 1,t,8,42
60,GRUPO - 4,t,9,43
61,GRUPO - 43,t,1,39
62,GRUPO - 52,t,1,31
63,GRUPO - 41,t,1,39
64,GRUPO - 11,t,1,21
65,GRUPO - 19,t,4,33
66,GRUPO - 3,t,1,21
67,GRUPO - 24,t,1,44
68,GRUPO - 2,t,7,38
69,GRUPO - 19,t,1,14
70,GRUPO - 10,t,4,27
71,GRUPO - 6,t,2,45
72,GRUPO - 12,t,1,32
73,GRUPO - 39,t,1,44
74,GRUPO - 38,t,1,21
75,GRUPO - 33,t,3,46
76,GRUPO - 3,t,7,47
77,GRUPO - 36,t,1,44
78,GRUPO - 15,t,4,48
