nvl_id,nvl_descripcion,nvl_tipo,cri_id
1,"Entiende los parámetros y datos iniciales; sin embargo, no identifica los procesos y tampoco brinda una solución a un problema dado.",Inicial,1
2,"Entiende los parámetros y datos iniciales e identifica los procesos; sin embargo, no brinda una solución a un  problema dado.",En Desarrollo,1
3,"Entiende los parámetros, datos iniciales, identifica los procesos y brinda una solución al problema problema dado.",Ideal,1
4,"Entiende el conjunto de datos, identifica los procesos, optimiza dichos procesos y brinda una solución a un problema dado.",Avanzado,1
5,"Identifica los requerimientos de los actores; sin embargo, no identifica los componentes y tampoco brinda una solución computacional a un problema dado.",Inicial,2
6,"Identifica los requerimientos de los actores y los componentes; sin embargo, no brinda una solución computacional a un problema dado.",En Desarrollo,2
7,"Identifica los requerimientos de los actores, los componentes convencionales y brinda una solución computacional a un problema dado.",Ideal,2
8,"Identifica los requerimientos de los actores, los componentes convencionales, agrega nuevos componentes y brinda una solución computacional a un problema dado.",Avanzado,2
9,"Identifica técnicas, métodos, estructuras de datos; sin embargo, no identifica arquitecturas o infraestructuras informáticas y tampoco brinda una solución computacional.",Inicial,3
10,"Identifica técnicas, métodos, estructuras de datos, arquitecturas o infraestructuras informáticas; sin embargo, no brinda una solución computacional.",En Desarrollo,3
11,"Identifica técnicas, métodos, estructuras de datos; así como también arquitecturas o infraestructuras informáticas y brinda una solución computacional convencional.",Ideal,3
12,"Identifica técnicas, métodos, estructuras de datos; así como también arquitecturas o infraestructuras informáticas y brinda una solución computacional innovadora.",Avanzado,3
13,"Diseña los componentes de una solución basada en cómputo sin embargo, no identifica a los diferentes actores y tampoco considera su conjunto de requerimientos.",Inicial,4
14,"Diseña los componentes de una solución basada en cómputo, identifica a los diferentes actores sin embargo, no considera su conjunto de requerimientos.",En Desarrollo,4
15,"Diseña todos los componentes convencionales de una solución basada en cómputo, identifica a los diferentes actores y considera su conjunto de requerimientos.",Ideal,4
16,"Diseña todos los componentes convencionales y agrega componentes novedosos para una solución basada en cómputo, identifica a los diferentes actores y considera su conjunto de requerimientos.",Avanzado,4
17,"Implementa una solución basada en cómputo para un problema dado sin embargo, no utiliza el diseño de componentes establecidos según los requerimientos de los actores.",Inicial,5
18,Implementa una solución basada en cómputo para un problema dado considerando parte del diseño de componentes establecidos según los requerimientos de los actores.,En Desarrollo,5
19,"Implementa una solución convencional basada en cómputo para un problema dado, considerando la totalidad de componentes establecidos en el diseño según los requerimientos de los actores.",Ideal,5
20,"Implementa correctamente una solución óptima basada en cómputo para un problema dado, considerando todo el diseño de componentes establecidos según los requerimientos de los actores.",Avanzado,5
21,"Evalúa una solución basada en cómputo para un problema dado sin embargo, no considera los requerimientos de los actores ni el diseño propuesto.",Inicial,6
22,"Evalúa una solución basada en cómputo para un problema dado, considera los requerimientos de los actores sin el diseño propuesto.",En Desarrollo,6
23,"Evalúa una solución convencional basada en cómputo para un problema dado, considera todos los requerimientos de los actores y el diseño propuesto.",Ideal,6
24,"Evalúa una solución basada en cómputo para un problema dado, considera todos los requerimientos de los actores y el diseño propuesto y determina si la solución es óptima.",Avanzado,6
25,"Comunica ideas de manera escrita y ordenada sin embargo, no las argumenta con base técnica ni científica en un contexto profesional.",Inicial,7
26,"Comunica las ideas de manera escrita y ordenada, proporcionando argumentos con base técnica, sin un argumento científico, en un contexto profesional.",En Desarrollo,7
27,"Comunica efectivamente todas las ideas, de manera escrita y ordenada, argumentándolas de forma convencional, con base técnica y ciéntifica en un contexto profesional.",Ideal,7
28,"Comunica efectivamente todas las ideas, de manera escrita y ordenada, argumentándolas minuciosamente con base científica y técnica en un contexto profesional aplicando estructuras de escritura y/o estándares internacionales.",Avanzado,7
29,"Comunica ideas de manera oral sin embargo, no las complementa con lenguaje no verbal ni facilita la captación de su discurso.",Inicial,8
30,Comunica ideas de manera oral y utiliza el lenguaje no verbal sin embargo se dificulta la captación de su discurso.,En Desarrollo,8
31,"Comunica efectivamente todas las ideas, de manera oral, fortaleciéndolas con lenguaje no verbal y facilitando la captación de su discurso de una forma convencional.",Ideal,8
32,"Comunica efectivamente todas las ideas, de manera oral, fortaleciéndolas con lenguaje no verbal transmitiendo confianza y seguridad para atraer la atención de la audiencia y así captar la comprensión de su discurso.",Avanzado,8
33,"Brinda una solución computacional a un problema profesional, identificando dilemas éticos sin embargo, no identifica ni sus actores ni las consecuencias.",Inicial,9
34,"Brinda una solución computacional a un problema profesional, identificando dilemas éticos y sus actores sin embargo, no determina las consecuencias.",En Desarrollo,9
35,"Brinda una solución computacional a un problema profesional, identificando dilemas éticos, sus actores y consecuencias.",Ideal,9
36,"Brinda una solución computacional a un problema profesional, identificando dilemas éticos con sus actores y consecuencias. Además, es capaz de sugerir a los involucrados las soluciones para la toma de decisiones.",Avanzado,9
37,"Demuestra honestidad e integridad en cuanto a cumplir preceptos éticos y deontológicos sin embargo, no asume la responsabilidad de su actividad profesional ni demuestra respeto hacia sus compañeros, conforme a lo establecido en las normas que rigen a la sociedad.",Inicial,10
38,"Demuestra honestidad e integridad en cuanto a cumplir preceptos éticos y deontológicos y asume la responsabilidad de su actividad profesional sin embargo, no demuestra respeto hacia sus compañeros, conforme a lo establecido en las normas que rigen a la sociedad.",En Desarrollo,10
39,"Demuestra honestidad e integridad en cuanto a cumplir preceptos éticos y deontológicos, asume la responsabilidad de su actividad profesional con respeto hacia sus compañeros, conforme a lo establecido en las normas que rigen a la sociedad.",Ideal,10
40,"Demuestra honestidad e integridad en cuanto a cumplir preceptos éticos y deontológicos, asume la responsabilidad de su actividad profesional con respeto hacia sus compañeros, conforme a lo establecido en las normas que rigen a la sociedad. Además comparte las buenas prácticas de su labor profesional.",Avanzado,10
